                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84187,                 0.8901,                 0.9985,                 1.6147,             0.00023794,             0.00023794,             0.00023794
                      2,                0.39333,                 0.9118,                 0.9985,                  1.581,             0.00042882,             0.00042882,             0.00042882
                      3,                0.34466,                  0.918,                 0.9993,                 1.5644,             0.00057258,             0.00057258,             0.00057258
                      4,                0.31257,                 0.9207,                 0.9998,                 1.5612,             0.00050194,             0.00050194,             0.00050194
                      5,                0.28409,                 0.9337,                 0.9996,                 1.5503,             0.00043126,             0.00043126,             0.00043126
                      6,                0.26378,                 0.9338,                 0.9996,                 1.5465,             0.00036057,             0.00036057,             0.00036057
                      7,                0.24742,                 0.9371,                 0.9998,                 1.5426,             0.00028988,             0.00028988,             0.00028988
                      8,                0.22976,                 0.9406,                 0.9996,                 1.5382,              0.0002192,              0.0002192,              0.0002192
                      9,                0.21629,                 0.9421,                 0.9997,                 1.5376,             0.00014851,             0.00014851,             0.00014851
                     10,                0.20557,                 0.9426,                 0.9997,                 1.5361,             7.7826e-05,             7.7826e-05,             7.7826e-05
